"Year","Home Goals","Away Goals","Total Number of Goals","Away Goal Percent","Number of Games","Away Goal Per Game","Away Goal Decider"
"1994-95",17,7,24,29.17%,12,0.583333333333333,1
"1995-96",16,7,23,30.43%,12,0.583333333333333,0
"1996-97",19,10,29,34.48%,12,0.833333333333333,0
"1997-98",17,11,28,39.29%,12,0.916666666666667,1
"1998-99",18,15,33,45.45%,12,1.25,0
"1999-00",29,12,41,29.27%,12,1,0
"2000-01",21,7,28,25.00%,12,0.583333333333333,1
"2001-02",20,16,36,44.44%,12,1.33333333333333,1
"2002-03",21,13,34,38.24%,12,1.08333333333333,0
"2003–04",44,24,68,35.29%,28,0.857142857142857,2
"2004–05",42,29,71,40.85%,28,1.03571428571429,1
"2005-06",34,20,54,37.04%,28,0.714285714285714,3
"2006-07",37,28,65,43.08%,28,1,3
"2007-08",37,24,61,39.34%,28,0.857142857142857,0
"2008-09",47,33,80,41.25%,28,1.17857142857143,1
"2009-10",52,28,80,35.00%,28,1,2
"2010-11",42,33,75,44.00%,28,1.17857142857143,1
"2011-12",64,25,89,28.09%,28,0.892857142857143,1
"2012-13",48,33,81,40.74%,28,1.17857142857143,1
"2013-14",42,38,80,47.50%,28,1.35714285714286,1
"2014-15",48,30,78,38.46%,28,1.07142857142857,2
"2015-16",39,26,65,40.00%,28,0.928571428571429,0
"2016-17",62,35,97,36.08%,28,1.25,1
"2017-18",47,44,91,48.35%,28,1.57142857142857,2
